A Alma e a Gente	2003	History
A Band Apart	2014	Comedy
A Beautiful Affair	2012	Drama
A Beetle Called Derek	1990	Family
A Bender Abroad	2013	Documentary
A Better Life with Charles Nieman	2010	Family
A Big Country	1968	News
A Bike Is Born	2002	Documentary
A Billion to One	2015	Drama
A Biography of America	2000	History
A Bit Much	2014	Comedy
A Bit Much	2014	Drama
A Bit Much	2014	Romance
A Bit of Fry and Laurie	1987	Comedy
A Bit of a Do	1989	Comedy
A Bit of a Do	1989	Drama
A Bite of China II	2014	Documentary
A Brand New Life	1989	Comedy
A Brew Hope	2012	Comedy
A Brilliant Road Trip	2012	Documentary
A Brit and a Broad	2015	Documentary
A Brother for Joe	1961	Thriller
A Brush with the Mersey	2004	Documentary
A Bunch of Fives	1977	Drama
A Bunch of Fives	1977	Family
A Bunch of Munsch	1991	Animation
A Bunch of Munsch	1991	Family
A CARography	2002	Documentary
A Cabbie Abroad	2014	Documentary
A Cappella	2016	Comedy
A Cappella	2016	Drama
A Cappella	2016	Music
A Car Called Wanda	2012	Comedy
A Car for Africa	1987	Documentary
A Cara do Futuro	2016	Documentary
A Casa Do Playhouse Disney	2009	Comedy
A Casa Do Playhouse Disney	2009	Family
A Casa Do Playhouse Disney	2009	Musical
A Casa Nostra	2015	Family
A Casa da Conexa	2013	Comedy
A Casa das Sete Mulheres	2003	Drama
A Casa das Sete Mulheres	2003	History
A Casa das Sete Mulheres	2003	Romance
A Casa das Sete Mulheres	2003	War
A Casa do Disney Junior	2011	Comedy
A Casa do Disney Junior	2011	Family
A Casa do Disney Junior	2011	Musical
A Casa do Disney Junior	2011	Short
A Casa do Herman	2016	Comedy
A Casa do Tio Carlos	1993	Family
A Case for the Court	1960	Documentary
A Case for the Court	1960	Drama
A Castle and Sixpence	1954	Adventure
A Century of Women	1994	Documentary
A Century of Women	1994	Drama
A Century of Women	1994	History
A Certain Justice	1998	Crime
A Certain Justice	1998	Drama
A Certain Justice	1998	Mystery
A Chance of Thunder	1961	Thriller
A Chance to Sit Down	1981	Drama
A Change in Degree	2011	Comedy
A Change of Face	2009	Documentary
A Child Against All Odds	2006	Documentary
A Choice of Coward	1964	Drama
A Chopper Is Born	2002	Documentary
A Christmas Night with the Stars	1958	Comedy
A Christmas Night with the Stars	1958	Music
A Church to Yourself	1979	Documentary
A Church to Yourself	1979	History
A Class Act	2014	Comedy
A Class by Himself	1971	Comedy
A Class of Cool	2015	Comedy
A Clear Word from Mud Creek	2006	Family
A Closer Look	1991	Biography
A Closer Look	1991	Documentary
A Comicbook Orange	2007	Biography
A Comicbook Orange	2007	News
A Confeitaria	2011	Family
A Copa do Mundo no Recife	2015	Documentary
A Country Practice	1981	Drama
A Country Practice	1981	Romance
A Country Practice	1994	Drama
A Couple of Astronauts	2014	Animation
A Couple of Joes	1949	Comedy
A Couple of Joes	1949	Music
A Crazy Leo Show	2013	Comedy
A Crime to Remember	2013	Crime
A Crime to Remember	2013	Documentary
A Cruz y a espada	1992	Documentary
A Cunhada	2006	Drama
A Cura	2010	Drama
A Cura	2010	History
A Cura	2010	Mystery
A Cure for Dead	2011	Action
A Cure for Dead	2011	Comedy
A Cure for Dead	2011	Horror
A Current Affair	1971	News
A Current Affair	1986	News
A Dalmatians Point of View	2002	Adventure
A Dalmatians Point of View	2002	Comedy
A Dalmatians Point of View	2002	Family
A Dalmatians Point of View	2002	Short
A Dance to the Music of Time	1997	Drama
A Dangerous Life	1988	Crime
A Dangerous Life	1988	Documentary
A Dangerous Life	1988	Drama
A Dangerous Life	1988	History
A Dangerous Life	1988	Thriller
A Dare to Remember	2016	Action
A Dark Adapted Eye	1994	Crime
A Dark Adapted Eye	1994	Drama
A Dark Adapted Eye	1994	Mystery
A Dark Adapted Eye	1994	Thriller
A Dark Tale	2015	Action
A Dark Tale	2015	Drama
A Dark Tale	2015	Fantasy
A Data e o Feito	1982	History
A Date with Judy	1952	Comedy
A Dating Story	2000	Documentary
A Daughter Just Like You	2015	Drama
A Day for Nature	2008	Documentary
A Day in a Day Out	1997	Documentary
A Day in the Country	1997	Documentary
A Day in the Hustle	2014	Documentary
A Day in the Hustle	2014	Short
A Day in the Life Of	2016	Short
A Day in the Life of Mike Phelps	2012	Comedy
A Day in the Life of Young Robin Hood	2012	Action
A Day in the Life of Young Robin Hood	2012	Adventure
A Day in the Life of Young Robin Hood	2012	Family
A Day in the Life of Young Robin Hood	2012	Short
A Day in the Life	2010	Comedy
A Day in the Life	2011	Documentary
A Death in California	1985	Drama
A Decade On	2015	Comedy
A Demanda do R	1998	Animation
A Demanda do R	1998	Family
A Detective Housewife	2016	Action
A Detective Housewife	2016	Comedy
A Diarista	2003	Comedy
A Diary of Britain	1979	Documentary
A Different Country	2014	Documentary
A Different Life	2005	Family
A Different Spin with Mark Hoppus	2010	Music
A Different World	1987	Comedy
A Difficult Woman	1998	Drama
A Difficult Woman	1998	Mystery
A Diplomat in Japan	1992	Drama
A Disappeared Special	2014	Crime
A Dish a Day	2010	Family
A Division of Honorary Detectives	2017	Comedy
A Documentary of Life	2012	Comedy
A Documentary of Life	2012	Documentary
A Dominican Hitman	2013	Action
A Dose of Buckley	2009	Comedy
A Double Shot at Love	2008	Romance
A Drop of True Blood	2010	Drama
A Drop of True Blood	2010	Fantasy
A Drop of True Blood	2010	Horror
A Drop of True Blood	2010	Short
A Electra le sienta bien el luto	1986	Drama
A Escrava Isaura	2004	Drama
A Escrava Isaura	2004	Romance
A Escrita da Casa	1987	Biography
A Escrita da Casa	1987	History
A Esfera de Ki	1992	Family
A Family Man	1984	Drama
A Family at War	1970	Drama
A Family at War	1970	War
A Family for Joe	1990	Comedy
A Farewell to Arms	1966	Drama
A Fatal Inversion	1992	Thriller
A Favorita	2008	Drama
A Favorita	2008	Mystery
A Favorita	2008	Thriller
